;;;;;;;;;REGISTRO DE INGRESOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Codigo
Cliente";Ciudad;Zona;"Nombre Comercial o 
Nombre del Cliente";CodigoVendedor;Vendedor;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;Total 2022;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;Total 2023;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;Total 2024;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;Total 2025;Total General
717;Santa Cruz;CALACOTO;FERRETERIA MARIO (CALACOTO);15;ROLY CHALCO;0.0;121.81;0.0;124.34;0.0;0.0;151.83;154.21;0.0;109.02;0.0;114.05;775.25;203.93;0.0;127.99;199.19;149.88;0.0;107.18;233.94;185.2;118.6;0.0;161.88;1487.8;0.0;120.59;239.17;120.51;102.87;138.09;106.13;214.0;153.12;192.1;50.38;166.67;1603.63;73.07;0.0;141.43;115.55;112.21;0.0;116.41;162.9;208.12;929.69;4796.37
1711;Santa Cruz;CALACOTO;FERRETERIA MANANTIAL;15;ROLY CHALCO;238.96;372.32;202.35;191.49;345.74;284.14;172.65;307.32;512.59;0.0;382.66;0.0;3010.22;429.17;330.85;462.57;0.0;384.95;117.12;242.66;531.89;413.17;565.36;450.23;360.59;4288.57;289.58;0.0;258.71;351.87;493.93;290.66;261.79;620.3;259.29;376.68;270.95;369.14;3842.89;0.0;121.65;271.91;161.36;180.27;354.69;122.98;259.4;0.0;1472.26;12613.94
2589;Santa Cruz;CALACOTO;DISTRIBUIDORA DAJUL;15;ROLY CHALCO;223.47;158.17;201.88;0.0;366.62;200.09;165.33;140.19;0.0;0.0;0.0;0.0;1455.75;300.99;180.25;214.21;217.88;343.54;217.78;205.14;276.67;617.06;285.07;229.61;274.72;3362.91;224.2;272.01;241.16;241.63;236.57;197.6;164.04;362.49;283.06;0.0;0.0;211.48;2434.24;347.27;243.81;205.84;133.34;443.57;141.32;0.0;159.47;218.07;1892.69;9145.58
1592;Santa Cruz;CALACOTO;FERRETERIA LEON ZEGARRA;15;ROLY CHALCO;0.0;0.0;189.32;100.6;115.45;0.0;0.0;0.0;66.1;168.83;0.0;130.86;771.17;0.0;227.75;0.0;0.0;205.47;0.0;188.83;222.19;327.06;121.3;94.61;98.37;1485.57;163.66;218.2;123.68;161.58;227.9;0.0;146.62;90.2;253.54;240.8;217.54;129.76;1973.46;125.39;157.38;215.68;72.08;158.36;138.57;130.79;174.03;139.52;1311.79;5541.99
563;Santa Cruz;CALACOTO;CASA SAN PABLO;15;ROLY CHALCO;0.0;94.53;0.0;0.0;0.0;54.34;0.0;145.47;0.0;0.0;0.0;0.0;294.33;48.3;0.0;110.78;0.0;85.18;100.67;0.0;220.35;72.87;128.61;82.39;50.11;899.27;91.7;137.4;107.56;87.38;73.98;101.55;55.86;138.93;81.07;88.49;120.34;0.0;1084.26;0.0;0.0;0.0;111.5;104.35;0.0;0.0;68.97;67.12;351.94;2629.8
3372;Santa Cruz;CALACOTO;FERRETERIA HOGAR;16;ALBERTO MENESES;0.0;137.34;113.84;97.93;0.0;71.02;63.53;121.16;92.11;128.38;62.66;41.49;929.44;203.06;0.0;107.28;127.74;221.15;62.98;91.7;191.49;0.0;148.35;87.94;114.03;1355.72;0.0;166.26;216.48;129.69;236.94;115.74;130.83;257.0;205.66;132.82;158.8;180.48;1930.7;130.96;75.24;132.0;190.07;235.64;113.14;124.7;153.7;215.51;1370.95;5586.81
1240;Santa Cruz;CALACOTO;FERRETERIA QUENTA;15;ROLY CHALCO;0.0;157.71;261.54;0.0;0.0;0.0;126.5;0.0;0.0;212.12;174.41;113.18;1045.47;0.0;0.0;0.0;0.0;259.9;0.0;136.64;251.53;542.77;235.12;150.16;202.45;1778.57;167.92;0.0;0.0;0.0;420.84;130.8;182.4;99.18;240.88;214.2;226.01;221.99;1904.21;204.67;215.02;290.4;185.0;234.21;126.99;125.94;138.55;0.0;1520.78;6249.02
1516;Santa Cruz;CALACOTO;FERRETERIA JR;15;ROLY CHALCO;0.0;93.87;52.06;62.65;95.13;59.41;34.43;59.26;68.37;65.12;54.88;102.12;747.3;104.24;85.21;113.24;125.11;84.81;86.57;131.54;85.5;141.47;166.38;78.82;88.57;1291.45;91.93;59.86;120.76;134.3;0.0;103.78;50.64;118.27;88.16;136.94;76.79;95.49;1076.9;46.41;52.57;63.78;71.3;85.96;47.51;29.57;103.13;80.82;581.04;3696.69
3371;Santa Cruz;CALACOTO;FERRETERIA KM 0;16;ALBERTO MENESES;0.0;220.0;0.0;336.69;63.9;166.83;116.84;146.04;225.54;0.0;154.77;153.33;1583.93;311.12;147.28;168.86;224.08;238.5;67.56;176.91;253.92;235.55;215.95;226.34;148.41;2414.49;207.55;239.38;0.0;215.36;253.19;161.79;60.84;396.43;240.85;280.12;258.05;236.75;2550.31;93.63;192.74;0.0;187.73;175.9;167.25;100.42;100.09;200.46;1218.23;7766.96
3409;Santa Cruz;CALACOTO;FERRETERIA YHORYIN;15;ROLY CHALCO;0.0;0.0;99.86;121.77;305.21;0.0;78.09;0.0;235.87;132.72;151.18;116.56;1241.27;198.12;157.69;314.85;358.57;149.65;252.49;0.0;401.53;315.68;0.0;183.02;128.77;2460.37;205.7;290.38;208.27;201.99;408.0;119.62;154.77;224.66;254.11;118.73;158.66;158.67;2503.57;90.13;228.51;221.67;165.28;134.1;182.04;294.51;268.7;121.68;1706.6;7911.81
557;Santa Cruz;CALACOTO;FERRETERIA ARTURO;15;ROLY CHALCO;0.0;0.0;137.78;0.0;0.0;168.27;136.35;167.6;0.0;130.5;111.89;147.43;999.81;0.0;0.0;154.08;261.2;189.67;99.76;148.36;316.58;612.31;0.0;117.53;233.38;2132.89;284.63;0.0;197.14;206.12;174.64;0.0;0.0;229.44;0.0;112.05;168.22;178.24;1550.47;0.0;165.16;116.5;339.16;194.87;189.78;0.0;364.38;258.02;1627.87;6311.04
2963;Santa Cruz;CALACOTO;FERRETERIA LOURDES (CALACOTO);15;ROLY CHALCO;466.46;248.64;525.08;256.69;564.17;234.81;302.42;702.24;0.0;469.03;402.74;369.02;4541.28;364.7;436.61;410.73;829.28;537.23;350.9;569.22;463.74;952.89;552.25;360.05;504.34;6331.94;481.63;624.3;559.72;371.4;530.58;630.54;412.63;454.69;408.18;788.39;469.75;490.96;6222.77;304.14;478.26;548.82;632.85;275.31;233.27;203.26;787.91;547.39;4011.2;21107.18
649;Santa Cruz;CALACOTO;FERRETERIA YOSELIN;15;ROLY CHALCO;0.0;0.0;0.0;85.29;0.0;0.0;34.12;113.26;61.06;0.0;92.57;100.31;486.62;133.29;0.0;0.0;178.76;0.0;129.44;87.75;179.8;122.06;137.71;50.97;80.41;1100.19;116.98;145.92;145.48;89.81;121.91;89.05;86.84;157.56;136.94;156.21;99.32;70.37;1416.38;0.0;126.77;80.86;127.49;103.85;76.7;51.62;0.0;101.8;669.09;3672.28
2877;Santa Cruz;CALACOTO;FERRETERIA EUROPERNOS;15;ROLY CHALCO;46.71;0.0;0.0;45.63;8.94;22.44;21.88;56.58;48.64;39.94;39.18;62.99;392.93;73.97;44.88;0.0;60.05;78.47;36.76;59.81;52.67;62.14;51.49;65.49;64.53;650.27;63.14;70.92;40.08;0.0;40.36;57.5;61.07;58.65;102.79;102.0;44.14;53.59;694.24;28.64;44.14;68.73;73.72;40.42;0.0;11.07;70.29;68.84;405.84;2143.29
2567;Santa Cruz;CALACOTO;FERRETERIA NRA;15;ROLY CHALCO;100.7;146.27;253.43;155.97;0.0;107.03;156.98;275.74;185.47;273.44;209.86;157.96;2022.84;304.5;341.68;0.0;324.76;267.86;149.35;178.02;417.01;282.98;286.04;244.9;172.18;2969.28;160.36;0.0;149.38;258.48;255.2;341.08;242.3;303.58;241.08;209.54;286.15;221.48;2668.63;0.0;0.0;570.84;251.47;211.58;306.91;111.38;212.99;246.0;1911.17;9571.92
931;Santa Cruz;CALACOTO;FERRETERIA MAYTE 2;15;ROLY CHALCO;0.0;0.0;150.22;0.0;0.0;0.0;0.0;199.2;0.0;0.0;0.0;165.33;514.75;306.53;261.48;196.39;167.78;225.97;0.0;0.0;243.79;78.5;324.43;0.0;153.21;1958.08;228.97;302.95;219.74;215.0;141.49;0.0;181.61;230.18;222.18;142.24;0.0;255.1;2139.46;157.37;190.33;286.27;102.87;221.94;287.86;0.0;116.19;252.96;1615.78;6228.07
927;Santa Cruz;CALACOTO;FERRETERIA MAYTE;15;ROLY CHALCO;9.11;6.24;5.25;4.65;0.0;5.33;0.0;0.0;0.0;0.0;7.25;5.13;42.95;0.0;0.0;12.79;7.3;11.88;9.74;6.09;6.23;10.02;0.0;5.48;4.13;73.65;5.55;13.95;7.62;6.36;0.0;4.85;5.18;13.02;10.56;9.01;9.14;0.0;85.23;3.95;4.57;3.85;0.0;9.48;0.0;4.72;7.89;9.74;44.2;246.03
565;Santa Cruz;CALACOTO;FERRETERIA SAN SILVESTRE;15;ROLY CHALCO;0.0;62.1;0.0;67.09;0.0;49.06;0.0;0.0;0.0;39.33;0.0;93.96;311.55;78.23;91.84;0.0;61.94;0.0;0.0;0.0;71.19;118.18;58.91;0.0;68.98;549.26;0.0;95.35;77.89;77.9;74.57;66.51;56.1;49.16;130.37;83.7;63.77;55.9;831.21;42.56;0.0;66.03;82.97;45.45;57.31;85.31;82.8;67.97;530.41;2222.44
1375;Santa Cruz;CALACOTO;FERRETERIA SEÑOR DE LAGUNAS;15;ROLY CHALCO;161.3;221.75;138.88;142.49;217.94;143.94;123.08;190.32;179.81;0.0;145.1;167.01;1831.63;0.0;0.0;139.96;0.0;486.38;233.92;0.0;345.22;0.0;197.38;144.82;239.35;1787.04;288.77;0.0;102.5;237.39;300.79;213.05;177.71;197.09;222.13;0.0;245.55;0.0;1984.98;126.56;0.0;187.24;340.22;105.38;137.44;0.0;124.68;170.07;1191.57;6795.22
1546;Santa Cruz;CALACOTO;CASA SMART MI HOGAR INTELIGENTE;15;ROLY CHALCO;0.0;0.0;213.11;0.0;238.38;0.0;0.0;0.0;224.47;0.0;214.01;172.1;1062.08;312.31;257.62;232.55;205.27;250.59;334.69;166.35;265.06;193.35;162.47;318.51;101.65;2800.44;243.79;267.8;240.58;0.0;280.24;243.92;281.6;391.25;0.0;0.0;212.9;251.25;2413.33;144.54;263.76;235.77;281.72;308.16;136.44;133.24;341.2;185.32;2030.16;8306.01
566;Santa Cruz;CALACOTO;FERRETERIA MICAL;15;ROLY CHALCO;0.0;0.0;0.0;0.0;0.0;87.76;0.0;57.43;80.7;0.0;0.0;0.0;225.9;0.0;96.28;92.68;79.8;64.24;0.0;59.69;161.64;0.0;138.38;110.58;113.99;917.27;0.0;79.32;132.07;118.58;0.0;54.69;59.68;89.19;118.37;83.05;0.0;104.26;839.21;32.62;69.99;68.51;55.3;76.41;64.82;38.73;100.38;79.68;586.45;2568.83
316;Santa Cruz;CAMBODROMO;FERRETERIA CANAL CHIVATO;8;ROBERTO PACHECO;0.0;285.8;394.52;308.88;347.08;0.0;0.0;301.06;505.75;279.73;193.04;220.18;2836.05;208.82;525.62;206.88;498.66;0.0;297.88;222.02;461.23;530.85;346.16;387.02;291.36;3976.48;201.66;241.39;324.31;0.0;576.24;284.52;195.13;458.16;377.42;815.15;278.93;384.35;4137.26;217.34;543.11;394.55;216.15;377.52;334.38;228.49;384.3;428.46;3124.3;14074.1
317;Santa Cruz;CAMBODROMO;FERRETERIA PANAMERICANA (CAMBODROMO);8;ROBERTO PACHECO;0.0;0.0;189.46;143.76;121.78;170.62;0.0;161.96;213.02;0.0;102.75;95.75;1199.11;128.82;261.65;187.35;232.78;0.0;145.26;88.77;176.61;0.0;0.0;154.93;160.73;1536.91;210.65;0.0;189.9;187.92;0.0;100.81;108.27;0.0;231.11;155.33;166.65;163.16;1513.81;47.26;171.18;114.92;143.26;232.53;0.0;124.47;164.54;236.89;1235.04;5484.87
3436;Santa Cruz;CAMBODROMO;COMERCIAL LEMARK;8;ROBERTO PACHECO;0.0;392.7;548.19;681.68;307.01;369.14;0.0;432.38;764.21;537.34;426.12;285.49;4744.26;614.13;0.0;531.04;569.4;795.46;573.29;419.79;233.49;544.65;702.67;721.1;504.76;6209.77;463.67;468.4;566.36;599.47;545.76;360.95;345.3;484.99;431.01;751.63;451.63;615.63;6084.81;187.62;387.68;398.7;543.98;686.51;822.14;232.14;750.39;621.61;4630.77;21669.61
1820;Santa Cruz;CAMBODROMO;FERRETERIA MEGA CENTER;8;ROBERTO PACHECO;73.75;102.68;111.17;86.67;83.71;0.0;111.83;134.5;107.44;210.48;59.02;109.34;1190.61;211.55;130.26;140.5;126.9;316.98;151.92;153.02;185.99;178.11;150.16;192.83;91.72;2029.93;123.41;162.41;0.0;216.61;190.64;115.73;134.17;369.52;274.5;223.67;132.68;97.33;2040.67;53.73;106.31;163.9;79.04;179.14;97.65;91.68;180.37;171.28;1123.1;6384.31
1164;Santa Cruz;CAMBODROMO;FERRETERIA 8VO. ANILLO;8;ROBERTO PACHECO;204.52;172.97;262.62;147.6;277.86;0.0;0.0;0.0;441.54;292.69;219.59;248.24;2267.63;0.0;178.8;303.72;271.99;266.37;253.82;217.9;294.57;487.72;259.87;210.3;266.09;3011.13;189.17;279.59;0.0;145.56;347.33;238.37;141.16;242.18;267.36;259.85;216.69;126.26;2453.52;209.34;295.82;0.0;49.94;286.94;212.56;121.58;321.08;330.65;1827.92;9560.2
1694;Santa Cruz;CAMBODROMO;FERRETERIA CHIVATO;8;ROBERTO PACHECO;188.61;0.0;216.61;0.0;281.38;133.76;110.38;200.95;0.0;179.34;226.03;242.98;1780.03;239.43;241.97;322.1;132.48;285.62;201.92;309.47;392.6;243.54;353.74;335.66;308.84;3367.37;200.71;0.0;443.59;279.06;468.92;149.36;215.5;267.03;342.35;0.0;241.12;198.59;2806.22;207.13;111.8;315.97;248.22;332.01;173.3;205.18;432.81;229.68;2256.1;10209.72
1605;Santa Cruz;CAMBODROMO;FERRETERIA P Y C;8;ROBERTO PACHECO;265.73;180.32;271.54;329.04;0.0;0.0;176.81;295.79;229.62;308.21;75.45;155.38;2287.89;511.23;249.37;327.63;311.24;400.58;278.22;167.53;552.1;557.81;361.61;314.46;276.06;4307.84;159.2;305.24;168.48;354.0;337.11;303.6;0.0;229.56;331.04;283.94;340.72;304.33;3117.2;265.05;220.26;262.57;150.57;134.86;252.64;170.72;385.5;349.07;2191.25;11904.19
320;Santa Cruz;CAMBODROMO;FERRETERIA VILLANUEVA;8;ROBERTO PACHECO;0.0;14.82;0.0;9.47;0.0;11.52;0.0;11.66;0.0;0.0;9.21;6.89;63.58;23.76;0.0;0.0;0.0;17.4;11.0;10.96;0.0;0.0;0.0;0.0;11.4;74.52;0.0;15.69;12.37;11.04;14.9;0.0;0.0;8.02;9.3;0.0;17.53;10.38;99.22;15.94;12.63;13.78;8.33;11.65;14.24;7.79;12.11;17.74;114.2;351.52
230;Santa Cruz;CAMBODROMO;FERRETERIA ARROYO;8;ROBERTO PACHECO;0.0;36.68;0.0;75.0;0.0;0.0;80.05;132.58;68.38;0.0;63.67;0.0;456.35;131.81;98.55;141.58;132.62;0.0;73.16;81.75;0.0;0.0;79.44;134.33;57.96;931.19;106.88;0.0;69.56;110.42;141.54;0.0;0.0;0.0;0.0;70.05;163.0;89.35;750.79;72.56;0.0;114.21;187.44;51.09;0.0;53.69;140.96;125.64;745.59;2883.93
2765;Santa Cruz;CAMBODROMO;FERRETERIA ADALIN;8;ROBERTO PACHECO;21.15;0.0;38.73;0.0;0.0;28.3;21.17;42.64;29.23;33.66;0.0;39.11;253.98;68.49;72.07;48.44;52.69;0.0;54.53;39.82;70.82;72.2;0.0;37.91;56.56;573.54;54.57;68.14;55.43;50.18;0.0;30.83;55.31;65.82;91.46;21.1;36.44;59.25;588.53;68.16;39.51;55.26;51.05;53.18;42.75;32.16;49.98;68.22;460.27;1876.32
319;Santa Cruz;CAMBODROMO;FERRETERIA LA COMPLETINGA;8;ROBERTO PACHECO;0.0;125.86;0.0;62.52;0.0;0.0;76.67;0.0;107.13;0.0;100.74;0.0;472.92;0.0;0.0;214.27;144.95;197.45;206.78;78.21;133.51;154.65;190.66;113.77;0.0;1434.24;0.0;178.81;175.77;150.5;110.62;154.62;99.9;161.34;120.5;139.94;167.39;197.96;1657.35;137.12;109.61;121.3;176.83;140.15;0.0;119.0;108.67;262.51;1175.18;4739.7
3049;Santa Cruz;CAMIRI;FERRETERIA CORAL (CAMIRI);8;ROBERTO PACHECO;0.0;74.7;115.14;0.0;124.62;91.65;61.89;168.89;152.18;105.12;57.4;53.53;1005.12;98.64;131.76;69.02;137.47;104.31;95.92;148.25;125.13;179.32;201.26;237.37;117.9;1646.33;115.76;102.07;180.86;118.16;155.3;119.26;87.77;198.3;91.66;143.16;94.44;130.57;1537.31;149.77;78.29;92.28;78.56;203.32;85.54;66.79;91.5;221.78;1067.84;5256.6
3130;Santa Cruz;CAMIRI;FERRETERIA M Y R;8;ROBERTO PACHECO;273.7;343.04;442.08;168.47;398.06;289.05;290.81;298.77;420.2;303.0;549.33;527.43;4303.92;0.0;0.0;695.68;386.96;580.55;447.23;519.88;410.08;909.18;456.71;756.26;503.84;5666.37;336.63;335.08;0.0;458.39;560.85;478.64;468.61;573.62;693.73;546.04;538.14;324.81;5314.55;388.65;496.66;560.78;364.81;631.54;480.84;420.56;751.48;301.63;4396.95;19681.79
3048;Santa Cruz;CAMIRI;FERRETERIA CENTRAL (CAMIRI);8;ROBERTO PACHECO;53.19;26.81;56.3;46.08;48.12;34.18;40.19;46.1;74.71;44.78;34.2;69.56;574.21;62.95;74.17;56.89;48.38;72.85;43.32;39.17;119.44;90.39;32.21;30.2;36.06;706.03;24.82;68.56;0.0;46.11;42.18;49.23;23.09;37.27;72.26;49.1;55.28;63.43;531.33;40.96;44.37;21.87;64.02;57.66;19.86;38.55;49.69;0.0;336.98;2148.54
3128;Santa Cruz;CAMIRI;FERRETERIA KAMISAKI;8;ROBERTO PACHECO;151.51;0.0;193.42;65.48;270.15;146.61;137.91;133.73;229.84;227.3;104.26;104.57;1764.78;197.99;262.63;171.05;0.0;294.03;182.26;182.24;244.45;168.13;302.77;127.82;243.98;2377.36;138.95;268.17;436.21;262.87;0.0;224.11;168.84;232.38;329.77;193.72;170.08;172.13;2597.21;96.08;178.55;280.83;213.77;188.31;133.96;86.74;242.7;260.45;1681.39;8420.74
3129;Santa Cruz;CAMIRI;FERRETERIA BRAVO;8;ROBERTO PACHECO;0.0;0.0;37.69;44.32;0.0;21.31;29.57;0.0;56.42;38.2;12.68;34.59;274.78;50.51;25.47;0.0;27.95;55.13;0.0;0.0;57.94;41.25;61.6;45.04;70.28;435.17;63.21;57.66;66.77;59.28;0.0;67.95;0.0;53.34;94.78;0.0;27.69;40.36;531.04;28.44;38.03;58.87;36.42;73.26;34.94;0.0;0.0;46.47;316.42;1557.41
3058;Santa Cruz;CAMIRI;FERRETERIA CONDORITO (KM13);8;ROBERTO PACHECO;129.64;178.6;184.86;200.04;248.44;77.41;98.78;203.74;0.0;189.26;148.22;110.72;1769.71;0.0;0.0;155.41;75.4;249.54;300.17;274.06;284.93;245.64;302.87;186.82;163.48;2238.33;180.96;240.43;280.36;282.51;253.3;219.06;208.48;251.14;369.5;205.01;171.8;98.57;2761.1;0.0;230.22;184.15;250.22;188.48;122.0;110.79;123.92;203.12;1412.9;8182.04
1044;Santa Cruz;CANOTO 7 CALLES;ELECTRO BOLIVIA;8;ROBERTO PACHECO;136.31;0.0;0.0;0.0;100.84;0.0;114.89;199.01;189.03;0.0;255.41;133.26;1128.75;0.0;277.32;257.69;0.0;167.11;0.0;241.4;228.33;399.22;0.0;283.76;301.78;2156.62;140.43;136.2;270.27;208.17;0.0;0.0;83.0;271.33;190.4;63.04;224.18;0.0;1587.01;253.13;0.0;168.42;194.1;235.34;165.53;124.12;190.21;381.66;1712.5;6584.88
365;Santa Cruz;CANOTO 7 CALLES;FERRETERIA LA ECONOMICA (FLORIDA);8;ROBERTO PACHECO;0.0;20.99;27.39;20.64;14.09;0.0;14.49;0.0;21.6;19.71;28.74;0.0;167.66;30.42;37.34;29.52;37.29;28.75;43.7;14.12;41.05;56.24;38.65;15.56;31.63;404.27;0.0;0.0;38.58;0.0;0.0;18.13;22.03;29.18;45.47;23.71;18.69;20.67;216.46;22.52;35.87;0.0;27.33;29.96;11.28;0.0;33.9;38.59;199.45;987.82
2897;La Paz;CARANAVI;FERRETERIA ANGEL ( CARANAVI);16;ALBERTO MENESES;0.0;225.36;172.6;273.87;509.26;209.59;185.35;206.82;390.72;284.81;140.59;247.95;2846.93;0.0;335.78;361.31;589.64;466.24;149.29;284.96;430.79;541.76;454.01;0.0;213.76;3827.54;267.92;366.05;309.27;319.22;356.49;244.29;471.63;353.68;405.06;284.98;246.9;256.99;3882.47;311.23;304.92;296.16;436.52;526.27;313.83;146.8;302.64;281.31;2919.69;13476.63
2834;La Paz;CARANAVI;FERRETERIA COSMO (CARANVI);16;ALBERTO MENESES;362.65;264.76;237.08;184.73;353.06;270.82;0.0;347.79;178.16;265.32;314.44;246.17;3024.98;452.65;550.02;0.0;614.62;284.05;390.98;297.15;322.16;464.36;414.66;371.08;509.22;4670.94;416.28;438.43;378.21;549.28;515.11;218.61;277.0;421.29;395.73;267.68;273.1;312.07;4462.78;271.61;439.19;313.06;705.85;693.21;234.44;243.23;863.75;293.46;4057.79;16216.48
2830;La Paz;CARANAVI;FERRERIA CRISMAR (CARANAVI);16;ALBERTO MENESES;168.7;151.52;148.7;204.6;142.07;131.8;111.73;141.2;144.53;177.68;0.0;0.0;1522.53;149.31;0.0;152.75;186.06;270.99;194.18;159.75;0.0;358.54;230.66;172.0;122.03;1996.26;149.67;193.64;223.29;0.0;177.14;0.0;164.61;243.37;178.24;222.98;72.76;156.86;1782.55;141.19;92.12;206.13;215.5;0.0;127.57;119.85;157.05;181.05;1240.46;6541.8
2833;La Paz;CARANAVI;FERRETERIA FLORES ( CARANAVI);16;ALBERTO MENESES;270.68;165.1;334.52;333.14;0.0;189.65;63.29;290.73;268.8;243.79;128.52;216.05;2504.25;234.56;554.24;265.34;398.5;371.33;185.02;263.59;482.13;276.2;354.19;151.1;221.17;3757.37;256.92;294.15;400.19;288.78;498.38;0.0;204.2;521.77;339.13;315.12;320.14;281.1;3719.87;167.35;378.33;377.45;243.46;210.63;231.71;230.41;665.61;341.28;2846.22;12827.71
2832;La Paz;CARANAVI;FERRETERIA ABRIL;16;ALBERTO MENESES;133.9;145.02;191.16;0.0;236.55;0.0;79.99;250.36;126.0;275.73;239.73;131.5;1809.95;179.29;339.66;125.38;401.37;310.82;159.71;113.79;201.46;381.75;480.56;190.33;183.69;3067.83;242.51;217.23;122.72;252.64;357.65;259.3;132.17;168.11;231.16;229.5;149.34;144.13;2506.47;155.71;144.72;150.74;120.12;284.78;168.62;189.2;209.56;237.05;1660.5;9044.75
3072;La Paz;CARANAVI;FERRETERIA ESTELA;16;ALBERTO MENESES;135.28;317.67;0.0;231.87;111.6;0.0;224.98;111.01;264.19;0.0;291.59;193.9;1882.09;0.0;322.54;578.02;0.0;427.84;370.82;80.23;0.0;427.43;247.8;350.03;302.22;3106.92;274.67;244.01;159.76;255.74;341.72;323.82;120.35;317.12;335.94;357.19;389.81;264.36;3384.48;435.69;419.75;257.59;125.52;344.22;265.49;224.52;247.06;412.89;2732.72;11106.22
2982;La Paz;CARANAVI;DISTRIBUIDORA SAN ANDRES (CARANAVI);16;ALBERTO MENESES;0.0;171.69;195.24;142.77;106.98;0.0;0.0;196.5;207.02;183.35;0.0;125.9;1329.44;280.72;258.75;249.03;184.0;216.25;351.81;163.82;352.51;205.49;253.75;245.99;309.59;3071.71;74.79;287.85;362.1;226.04;161.12;110.44;85.01;203.13;204.08;263.1;138.34;216.62;2332.63;222.94;146.88;0.0;216.66;145.72;217.3;87.4;0.0;47.7;1084.6;7818.39
2896;La Paz;CARANAVI;CASA DE VINTURAS EL CONSTRUCTOR (CARANAVI);16;ALBERTO MENESES;443.2;418.19;0.0;490.21;686.78;325.67;382.31;334.73;426.14;395.08;259.25;311.0;4472.55;747.37;427.81;441.91;0.0;896.66;340.16;587.11;592.87;594.09;869.76;522.36;360.29;6380.38;468.24;761.8;565.63;207.17;723.34;0.0;333.98;821.17;782.88;1391.4;0.0;451.17;6506.78;395.29;577.4;324.56;0.0;363.0;397.46;381.09;871.49;700.88;4011.17;21370.88
3073;La Paz;CARANAVI;FERRETERIA LA ECONOMICA (CARANAVI);16;ALBERTO MENESES;0.0;20.63;12.58;12.82;0.0;21.09;9.15;29.11;23.79;0.0;0.0;0.0;129.17;24.79;23.18;27.38;29.58;0.0;0.0;32.09;44.76;23.06;26.36;28.29;25.49;284.98;30.04;32.59;41.76;17.68;0.0;20.91;9.9;0.0;25.53;20.56;19.63;14.35;232.95;28.42;31.09;23.15;12.81;19.01;15.32;12.74;26.01;0.0;168.54;815.64
2829;La Paz;CARANAVI;DISTRIBUDORA REDENTOR (CANARIVI);16;ALBERTO MENESES;103.39;126.75;405.3;124.89;188.35;140.11;137.93;300.98;314.08;219.75;217.66;0.0;2279.17;315.09;299.44;220.79;205.61;381.22;138.21;259.63;608.68;375.88;300.59;225.82;206.94;3537.87;130.49;225.48;280.36;271.46;411.29;335.75;316.92;197.27;266.52;100.1;378.73;156.64;3071.0;257.55;191.03;127.44;210.56;408.01;166.77;164.47;195.19;213.04;1934.07;10822.12
2831;La Paz;CARANAVI;FERRETERIA SANDRA (CARANAVI);16;ALBERTO MENESES;129.76;136.97;0.0;76.2;169.7;84.86;89.62;61.47;153.0;109.73;26.23;47.09;1084.62;111.13;64.5;85.03;0.0;109.45;143.78;93.24;137.98;108.92;104.5;105.66;0.0;1064.2;154.52;135.48;141.39;94.42;127.83;126.76;101.08;104.37;118.46;150.79;100.03;95.14;1450.28;44.69;125.74;117.22;81.55;0.0;98.02;39.07;113.84;41.92;662.06;4261.15
831;Cochabamba;CARRETERA A SACABA;FERRETERIA LA ECONOMICA (SACABA);22;ANDRES OZUNA;0.0;0.0;0.0;0.0;19.72;18.28;0.0;21.56;0.0;24.96;0.0;0.0;84.52;0.0;31.87;0.0;32.66;0.0;27.05;12.63;13.93;43.89;0.0;22.21;19.86;204.1;0.0;16.29;27.08;33.4;23.83;0.0;15.15;30.23;0.0;29.31;22.26;20.34;217.88;27.32;22.24;17.87;22.96;12.4;27.24;10.71;29.63;29.26;199.63;706.14
850;Cochabamba;CARRETERA A SACABA;FERRETERIA ORTIZ;22;ANDRES OZUNA;29.75;27.68;0.0;0.0;0.0;17.77;17.48;31.06;33.33;28.4;30.36;18.08;233.9;50.55;25.15;32.71;29.49;29.48;0.0;20.92;45.4;36.99;24.78;14.33;0.0;309.79;30.09;26.23;15.28;9.95;0.0;26.02;20.87;49.43;25.86;35.23;28.3;8.48;275.76;22.68;30.72;22.86;16.61;0.0;17.41;26.58;39.54;32.64;209.04;1028.5
1206;Cochabamba;CARRETERA A SACABA;COMERCIAL BOLIVIA;22;ANDRES OZUNA;0.0;70.86;100.3;0.0;0.0;82.93;0.0;94.17;0.0;0.0;74.6;80.69;503.54;0.0;85.13;116.62;133.22;0.0;125.76;62.23;0.0;159.15;174.97;96.31;92.22;1045.61;93.5;83.5;111.07;36.61;143.96;107.12;70.1;105.92;136.83;67.99;72.72;85.9;1115.22;63.76;107.14;0.0;90.46;140.3;75.4;77.27;63.83;118.16;736.34;3400.71
