;;;;;;;;;REGISTRO DE INGRESOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Codigo
Cliente";Ciudad;Zona;"Nombre Comercial o 
Nombre del Cliente";CodigoVendedor;Vendedor;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;Total 2022;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;Total 2023;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;Total 2024;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;Total 2025;Total General
2866;La Paz;12 DE OCTUBRE;FERRETERIA KIROS;15;ROLY CHALCO;429.59;372.52;417.71;364.33;502.4;268.84;467.71;782.47;407.63;346.26;415.16;374.94;5149.57;0.0;632.28;1027.51;502.53;991.06;948.68;222.68;457.78;1181.11;595.07;772.45;732.31;8063.46;670.11;434.21;499.13;536.52;644.6;497.0;300.29;626.03;428.14;387.08;440.08;633.69;6096.88;133.09;555.52;303.7;551.84;518.18;309.92;283.14;611.34;808.85;4075.58;23385.49
632;La Paz;12 DE OCTUBRE;"FERRETERIA  ""LUZ CEJA""";15;ROLY CHALCO;193.1;0.0;0.0;0.0;189.45;203.98;0.0;95.68;0.0;238.45;246.81;0.0;1167.46;201.0;284.16;189.51;0.0;0.0;214.05;0.0;237.03;500.5;326.2;186.74;0.0;2139.18;252.38;180.38;219.37;139.7;148.92;227.93;221.83;0.0;342.38;148.76;217.93;170.8;2270.37;245.15;177.35;167.67;0.0;0.0;230.95;152.77;114.18;209.15;1297.22;6874.24
2126;La Paz;12 DE OCTUBRE;FERRETERIA XIMENA 2;15;ROLY CHALCO;247.44;178.34;297.52;274.11;328.52;344.94;107.47;280.28;394.59;0.0;310.21;264.57;3027.98;314.54;481.53;283.13;561.21;171.62;348.94;412.1;434.98;502.82;197.38;333.22;263.64;4305.1;328.59;0.0;300.97;459.93;154.53;367.55;347.6;407.09;427.79;363.0;291.23;354.09;3802.35;295.38;170.94;142.13;324.91;235.87;0.0;239.42;240.33;359.68;2008.65;13144.08
580;La Paz;12 DE OCTUBRE;FERRETERIA JEHOVA;15;ROLY CHALCO;0.0;235.56;0.0;221.94;184.51;149.2;0.0;210.58;0.0;0.0;0.0;143.69;1145.49;0.0;232.41;0.0;0.0;274.02;0.0;92.64;268.43;292.27;0.0;171.03;181.08;1511.88;235.69;230.79;0.0;229.03;268.89;153.07;178.14;202.65;207.49;136.98;175.43;164.69;2182.86;195.74;79.55;234.86;175.84;0.0;185.19;77.73;230.01;314.43;1493.35;6333.57
662;La Paz;12 DE OCTUBRE;FERRETERIA PLASTICOS MAURICIO;15;ROLY CHALCO;0.0;27.03;36.56;39.86;24.22;24.67;17.44;38.81;40.21;16.34;20.9;33.77;319.82;25.72;49.15;36.46;43.57;46.07;35.83;28.67;41.92;41.16;27.22;32.2;14.4;422.37;37.94;21.45;41.07;10.97;41.62;27.87;42.77;0.0;52.2;30.82;37.4;26.4;370.52;31.22;32.11;25.79;28.87;22.08;15.95;16.42;31.79;45.53;249.75;1362.45
906;La Paz;12 DE OCTUBRE;FERRETERIA REY ELECTRIC;15;ROLY CHALCO;110.71;218.44;153.56;230.8;283.95;185.82;213.23;195.42;234.74;315.6;248.56;193.42;2584.23;317.86;326.83;195.01;306.92;217.65;306.08;97.68;448.34;273.12;371.27;284.57;240.79;3386.11;236.39;299.96;177.04;290.61;418.16;262.68;184.4;0.0;416.77;230.09;174.34;291.76;2982.19;130.17;226.52;239.62;234.5;179.39;210.17;181.1;263.14;176.03;1840.63;10793.16
3273;La Paz;12 DE OCTUBRE;ABC LED;15;ROLY CHALCO;0.0;30.42;69.73;67.02;0.0;34.47;0.0;43.42;72.81;67.42;112.3;65.1;562.67;0.0;105.62;0.0;95.7;139.24;101.25;120.21;0.0;94.09;84.06;58.91;66.66;865.74;64.12;51.88;72.46;103.98;135.78;0.0;84.76;86.25;131.7;120.35;115.47;63.66;1030.42;60.67;45.97;44.95;37.57;96.64;68.39;44.13;87.99;124.56;610.86;3069.69
2925;La Paz;12 DE OCTUBRE;IMPORTADORA LIMACHI (12 DE OCTUBRE);15;ROLY CHALCO;63.84;188.22;202.47;217.54;375.35;140.58;190.12;293.48;345.46;201.73;165.09;165.38;2549.26;252.6;241.52;206.86;274.1;529.81;327.82;277.93;318.94;310.67;153.23;207.06;165.92;3266.47;0.0;322.78;325.47;288.03;414.02;319.59;300.47;335.13;249.78;303.68;239.42;114.22;3212.6;298.69;251.09;275.73;332.84;257.71;144.15;250.67;279.87;351.6;2442.34;11470.67
976;La Paz;12 DE OCTUBRE;FERRETERIA VEIMAR;15;ROLY CHALCO;112.49;0.0;367.54;119.36;343.67;302.88;183.88;350.12;445.49;260.9;378.63;296.56;3161.52;633.88;716.1;179.78;504.5;891.31;327.76;227.8;617.96;496.86;0.0;511.05;444.51;5551.52;296.04;564.12;711.39;278.34;0.0;361.5;289.04;1141.22;994.77;441.74;526.43;365.74;5970.31;589.36;441.35;406.97;463.92;333.8;169.34;299.56;250.13;270.89;3225.32;17908.66
2618;La Paz;12 DE OCTUBRE;FERRETERIA HECO;15;ROLY CHALCO;0.0;9.64;10.22;6.7;0.0;6.2;8.17;16.32;10.32;0.0;10.18;8.95;86.71;5.77;11.48;6.54;11.18;0.0;7.51;0.0;18.75;12.33;0.0;9.0;16.13;98.7;12.0;5.9;19.3;11.68;11.33;9.83;0.0;13.59;12.52;16.56;6.42;10.51;129.64;5.58;0.0;7.03;9.41;7.62;8.27;4.4;11.45;19.91;73.69;388.73
2123;La Paz;12 DE OCTUBRE;SOLUCIONES ELECTRICAS XAVI;15;ROLY CHALCO;13.68;20.75;0.0;25.32;26.62;10.7;20.89;27.98;21.72;0.0;18.26;15.87;201.78;31.46;40.49;40.92;19.53;38.79;0.0;11.44;41.31;0.0;22.45;0.0;16.48;262.88;25.38;0.0;24.01;15.5;28.39;19.64;20.56;28.98;39.71;9.44;12.3;17.13;241.04;25.3;28.92;19.92;24.56;18.8;22.54;15.69;25.62;27.47;208.82;914.52
